Title,Abstract,Journal
Accumulation of childhood poverty on young adult overweight or obese status: race/ethnicity and gender disparities.,"Childhood poverty is positively correlated with overweight status during childhood, adolescence and adulthood. Repeated exposure of childhood poverty could contribute to race/ethnicity and gender disparities in young adult overweight/obese (OV/OB) weight status.",Journal of epidemiology and community health
Survival Differences by Race/Ethnicity and Neighborhood Socioeconomic Status in Adolescents and Young Adults Diagnosed with Non-Hodgkin Lymphoma.,"Lymphoid malignancies are among the most common cancers diagnosed in adolescents and young adults (AYAs). However, little is known about the factors affecting survival in AYAs with non-Hodgkin lymphoma (NHL). We evaluated if survival differs by race/ethnicity and neighborhood socioeconomic status in AYAs with NHL.",Journal of adolescent and young adult oncology
"Prevalence of ADHD among Black Youth Compared to White, Latino and Asian Youth: A Meta-Analysis.","To systematically review the prevalence of Attention Deficit Hyperactivity Disorder (ADHD) among Black children and adolescents compared to White, Latino and Asian children and adolescents.","Journal of clinical child and adolescent psychology : the official journal for the Society of Clinical Child and Adolescent Psychology, American Psychological Association, Division 53"
Subjective Social Status and Financial Hardship: Associations of Alternative Indicators of Socioeconomic Status with Problem Drinking in Asian Americans and Latinos.,"<i>Background:</i> Prior research shows inconsistent associations between socioeconomic status (SES) and alcohol outcomes, particularly for immigrant populations. Conventional markers of SES may not fully capture how social position affects health in these groups. <i>Objective:</i> We examine: (1) the associations of two alternative indicators, subjective social status (SSS) and financial hardship, with problem drinking outcomes, heavy episodic drinking (HED) and alcohol use disorder (AUD), for Asian Americans and Latinos; and (2) moderation of these relationships by educational level and nativity status. <i>Methods:</i> Multiple logistic regression modeling was performed using nationally-representative Asian American (<i>n</i> = 2,095) and Latino samples (<i>n</i> = 2,554) from the National Latino and Asian American Study. Age, gender, nativity, individual-level SES (income and education), unfair treatment, racial discrimination, and social support were adjusted. <i>Results:</i> Financial hardship was independently associated with AUD in both Asians and Latinos. Lower SSS was associated with increased AUD risk among individuals with college degrees or with US nativity in both populations. The association between financial hardship and HED was positive for US-born Latinos and foreign-born Asians, and negative for foreign-born Latinos. <i>Conclusions:</i> SSS and financial hardship are indicators of SES that may have particular relevance for immigrant health, independently of education and income, with SSS particularly meaningful for AUD in the more conventionally advantaged subgroups. There may be underlying processes affecting Asian and other Latino subgroups with similar socioeconomic and nativity profiles and exposing them to common risk/protective factors of AUD.",Substance use & misuse
Cancer statistics by race and ethnicity.,"Key findings on cancer incidence and mortality are presented for five racial and ethnic groups in the United States--African Americans, American Indians, Asians and Pacific Islanders, Hispanics, and whites. Information on the prevalence of cancer risk factors and screening examinations among these racial and ethnic groups is also included.",CA: a cancer journal for clinicians
Organ Donation in the United States: The Tale of the African-American Journey of Moving From the Bottom to the Top.,The purpose was to review the increase of minority organ donation.,Transplantation proceedings
Trends in Deaths of Despair by Race and Ethnicity From 1999 to 2022.,,JAMA psychiatry
"Comparing Asian American Women's Knowledge, Self-Efficacy, and Perceived Risk of Heart Attack to Other Racial and Ethnic Groups: The mPED Trial.","The aim of the study was to compare knowledge and awareness of heart attacks/heart disease and perceived risk for future heart attack in Asian/Pacific Islander women, compared to other racial and ethnic groups.",Journal of women's health (2002)
Body dysmorphic symptoms: phenomenology and ethnicity.,"Differences in the presentation of clinical features of body dysmorphic disorder (BDD) across ethnic groups have received little investigation. The current study assessed BDD symptoms in an ethnically diverse sample of adults (n=401) using an online survey. Participants completed self-report measures assessing BDD symptoms, body parts of concern and BDD behaviors. Compared to Caucasian participants, no significant differences were found in body parts or behaviors reported by Latino or African American participants. Significant group differences did emerge between Asian and Caucasian participants. Specifically, Asians reported more concern with straight hair and dark skin and fewer body shape concerns than Caucasians. Asians also endorsed lower rates of grooming, touching body parts, and camouflaging and higher rates of exercise compared to Caucasians. Although most clinical features of BDD appear similar across ethnic groups, results showed some differences in body parts and behaviors between Caucasians and Asian Americans with BDD symptoms.",Body image
Primary care physicians' attitudes and beliefs about cancer clinical trials.,"Cancer clinical trials give patients access to state-of-the-art treatments and facilitate the translation of findings into mainstream clinical care. However, patients from racial and ethnic minority groups remain underrepresented in clinical trials. Primary care physicians are a trusted source of information for patients, yet their role in decision-making about cancer treatment and referrals to trial participation has received little attention. The aim of this study was to determine physicians' knowledge, attitudes, and beliefs about cancer clinical trials, their experience with trials, and their interest in appropriate training about trials.","Clinical trials (London, England)"
Examining identity disclosure: Racial and ethnic identity amongst Multiracial/ethnic adults in the United States.,"Providing personal demographic information is routine practice in the United States, and yet, little is known about the impacts of this process. This study aims to examine the experiences and perspectives of Multiracial/ethnic adults in the United States when disclosing racial/ethnic identity.",Health expectations : an international journal of public participation in health care and health policy
"Radiographic features associated with temporomandibular joint disorders among African, White, Chinese, Hispanic, and Indian racial groups.","Various radiographic features have been associated with temporomandibular joint disorders (TMDs); however, these characteristics have not been compared among different racial groups.",Nigerian journal of clinical practice
Child health in the United States: recent trends in racial/ethnic disparities.,"In the United States, race and ethnicity are considered key social determinants of health because of their enduring association with social and economic opportunities and resources. An important policy and research concern is whether the U.S. is making progress toward reducing racial/ethnic inequalities in health. While race/ethnic disparities in infant and adult outcomes are well documented, less is known about patterns and trends by race/ethnicity among children. Our objective was to determine the patterns of and progress toward reducing racial/ethnic disparities in child health. Using nationally representative data from 1998 to 2009, we assessed 17 indicators of child health, including overall health status, disability, measures of specific illnesses, and indicators of the social and economic consequences of illnesses. We examined disparities across five race/ethnic groups (non-Hispanic white, non-Hispanic black, Hispanic, non-Hispanic Asian, and non-Hispanic other). We found important racial/ethnic disparities across nearly all of the indicators of health we examined, adjusting for socioeconomic status, nativity, and access to health care. Importantly, we found little evidence that racial/ethnic disparities in child health have changed over time. In fact, for certain illnesses such as asthma, black-white disparities grew significantly larger over time. In general, black children had the highest reported prevalence across the health indicators and Asian children had the lowest reported prevalence. Hispanic children tended to be more similar to whites compared to the other race/ethnic groups, but there was considerable variability in their relative standing.",Social science & medicine (1982)
Comparing Mental Health of US Children of Immigrants and Non-Immigrants in 4 Racial/Ethnic Groups.,To compare the mental health status of children of immigrant (COI) and non-immigrant (NI) parents and to determine whether differences in mental health status between COI and NI vary across 4 racial/ethnic groups.,The Journal of school health
Racial/ethnic and age differences in women's awareness of heart disease.,"The purpose of this study was to examine differences in awareness of heart disease among women according to race/ethnicity by age group, adjusted for confounders.",Journal of women's health (2002)
"Racial, Ethnic, and Socioeconomic Disparities in Access to Transcatheter Aortic Valve Replacement Within Major Metropolitan Areas.","Despite the benefits of high-technology therapeutics, inequitable access to these technologies may generate disparities in care.",JAMA cardiology
Economic deprivation and early childhood development.,"We consider 3 questions regarding the effects of economic deprivation on child development. First, how are developmental outcomes in childhood affected by poverty and such poverty correlates as single parenthood, ethnicity, and maternal education? Second, what are the developmental consequences of the duration and timing of family economic deprivation? And, third, what is the comparative influence of economic deprivation at the family and neighborhood level? We investigate these issues with longitudinal data from the Infant Health and Development Program. We find that family income and poverty status are powerful correlates of the cognitive development and behavior of children, even after accounting for other differences--in particular family structure and maternal schooling--between low- and high-income families. While the duration of poverty matters, its timing in early childhood does not. Age-5 IQs are found to be higher in neighborhoods with greater concentrations of affluent neighbors, while the prevalence of low-income neighbors appears to increase the incidence of externalizing behavior problems.",Child development
Systemic Racism in Communication Sciences and Disorders Academic Programs: A Commentary on Trends in Racial Representation.,"As a discipline, communication sciences and disorders (CSD) has struggled to address equity and inclusion for students, professionals, and scholars from historically excluded racial groups. Recent publications in this periodical that have begun to confront systemic racism in the discipline have been met with some expected resistance. In this commentary, I attempt to support and expand an argument made by Ellis and Kendall (2021), namely, that systemic racism has been and continues to be a normal and persistent feature of our academic programs. A comparison to U.S. Census data suggests that Asian, Black, Indigenous, Native, Latino/a/e, and multiracial CSD professionals are represented to a drastically lower rate compared with their representation in the population at large. Furthermore, publicly available data summaries indicate that there is a reduction in the level of racial diversity that is associated with an increase in White representation across the entire progression of the professional training and certification process, with the greatest level of diversity at the undergraduate level followed by the graduate and professional levels.",American journal of speech-language pathology
Symptom clusters among multiethnic groups of cancer patients with pain.,"Considering recent inconsistent findings on ethnic differences in cancer pain experience, there is a need to clarify the association of ethnicity to cancer pain experience through diverse approaches. However, there currently exist only a small number of studies on ethnic differences in cancer pain experience in general, and few symptom cluster studies specifically related to ethnic differences in cancer pain experience. The purpose of this study was to cluster cancer patients who reported similar cancer pain experience, and to determine ethnic differences in the clusters.",Palliative & supportive care
"Elementary disruptions? Exploring residential move type, timing, and duration of implications during middle childhood.","Moving is common during middle childhood, but links between move type and children's development are less well understood. Using nationally-representative, longitudinal data (2010-2016) of ~9900 U.S. kindergarteners (52% boys, 51.48% White, 26.11% Hispanic/Latino, 10.63% Black, 11.78% Asian/Pacific Islander), we conducted multiple-group fixed-effects models estimating associations of within- and between-neighborhood moves, family income, and children's achievement and executive function, testing whether associations persisted or varied by developmental timing. Analyses suggest important spatial and temporal dimensions of moving during middle childhood: between-neighborhood moves had stronger associations than within-neighborhood moves, earlier moves benefited development whereas later moves did not, and associations persisted with significant effect sizes (cumulative Hedges' g = -0.09-1.35). Research and policy implications are discussed.",Child development
"Food Intake, Source, and Planning and Shopping Behavior Differences Among Hispanic, White, Black, and Asian Females.","Abdominal obesity remains a high public health concern. Within the United States, there are noted disparities among different ethnic/racial groups in relation to obesity, especially for females.",Journal of racial and ethnic health disparities
"School-level economic disadvantage and obesity in middle school children in central Texas, USA: a cross-sectional study.","Although children of lower socio-economic status (SES) in the United States have generally been found to be at greater risk for obesity, the SES-obesity association varies when stratified by racial/ethnic groups-with no consistent association found for African American and Hispanic children. Research on contextual and setting-related factors may provide further insights into ethnic and SES disparities in obesity. We examined whether obesity levels among central Texas 8th grade students (n=2682) vary by school-level economic disadvantage across individual-level family SES and racial/ethnicity groups. As a secondary aim, we compared the association of school-level economic disadvantage and obesity by language spoken with parents (English or Spanish) among Hispanic students.",The international journal of behavioral nutrition and physical activity
The association between community-level economic hardship and childhood obesity prevalence in Los Angeles.,"Neighbourhood social, economic and environmental factors are associated with childhood obesity. Childhood obesity disproportionately impacts those living in low-income neighbourhoods.",Pediatric obesity
Kin location and racial disparities in exiting and entering poor neighborhoods.,"Blacks and Latinos/as are less likely than Whites to move from a poor neighborhood to a non-poor neighborhood and are more likely to move in the reverse direction. Using individual-level data from the Panel Study of Income Dynamics (1980-2013) and neighborhood-level census data, this study explores the role that the spatial location of familial kin networks plays in explaining these racially and ethnically disparate mobility patterns. Blacks and Latinos/as live closer than Whites to nuclear kin, and they are also more likely than Whites to have kin members living in poor neighborhoods. Close geographic proximity to kin and higher levels of kin neighborhood poverty inhibit moving from a poor to a non-poor neighborhood, and increase the risk of moving from a non-poor to a poor tract. Racial/ethnic differences in kin proximity and kin neighborhood poverty explain a substantial portion of racial gaps in exiting and entering poor neighborhoods.",Social science research
A preliminary investigation of racial differences in body talk in age-diverse U.S. adults.,"To compare racial similarities and differences in conversations about body image, this online study surveyed U.S. adult men (n=1928) and women (n=1965) on 1) exposure to and 2) pressure to engage in body talk using vignettes featuring unfavorable body talk (e.g., ""fat talk"") or favorable self-accepting body talk. Black women reported less unfavorable body talk compared to White, Hispanic, and Asian women. Conversely, Black and Hispanic women reported more experience with favorable body talk compared to White women. Asian men reported more experience with favorable and unfavorable body talk compared to White men, and Black men reported more experience with favorable body talk compared to White men. Findings for Black women and men are largely consistent with body image literature espousing personal individualization of beauty and style (e.g., ""She's got it going on""). Given the dearth of research on body talk among men, conclusions regarding racial differences among men are tentative. Further exploration of varying forms of body talk holds promise for the development of culturally-sensitive prevention and treatment efforts for body image and disordered eating among culturally diverse groups of men and women.",Eating behaviors
Unequal Associations between Educational Attainment and Occupational Stress across Racial and Ethnic Groups.,"Although other mechanisms are also involved, at least one reason high educational attainment (EA) is associated with better health is lower employment stress in individuals with high EA. <i>Minorities' Diminished Returns</i>, however, refer to the smaller protective health effects of EA for racial- and ethnic-minority individuals, particularly African Americans (AAs) and Hispanics, as compared to Whites. We are, however, not aware of many studies that have explored differential associations between EA and work-related stress across racial and ethnic groups.",International journal of environmental research and public health
Racial and socioeconomic disparities in outcomes following pediatric cerebrospinal fluid shunt procedures.,"OBJECT Racial and socioeconomic disparities within the US health care system are a growing concern. Despite extensive research and efforts to narrow such disparities, minorities and economically disadvantaged patients continue to exhibit inferior health care outcomes. Disparities in the delivery of pediatric neurosurgical care are understudied. Authors of this study examine the impact of race and socioeconomic status on outcomes following pediatric CSF shunting procedures. METHODS Discharge information from the 2000, 2003, 2006, and 2009 Kids' Inpatient Database for individuals (age < 21 years) with a diagnosis of hydrocephalus who had undergone CSF shunting procedures was abstracted for analysis. Multivariate logistic regression analyses, adjusting for patient and hospital factors and annual CSF shunt procedure volume, were performed to evaluate the effects of race and payer status on the likelihood of inpatient mortality and nonroutine hospital discharge (that is, not to home). RESULTS African American patients (p < 0.05) had an increased likelihood of inpatient death and nonroutine discharge compared with white patients. Furthermore, Medicaid patients had a significantly higher likelihood of nonroutine discharge (p < 0.05) as compared with privately insured patients. CONCLUSIONS Findings in this study, which utilized US population-level data, suggest the presence of racial and socioeconomic status outcome disparities following pediatric CSF shunting procedures. Further studies on health disparities in this population are warranted.",Journal of neurosurgery. Pediatrics
Racial and ethnic diversity of the U.S. national nurse workforce 1988-2013.,"The objective of this article is to examine the racial and ethnic diversity profile of the nurse workforce over time and by geographic region. We conducted survey analysis using the National Sample Survey of Registered Nurses from 1988 to 2008, and further supplemented our trend analysis using published findings from the 2013 National Workforce Survey of Registered Nurses. The gap in racial/ethnic minority representation between the RN workforce and the population has been persistent and has widened over time. This diversity gap is primarily due to underrepresentation of Hispanics and Blacks in the RN workforce, which varied across states and regions, with the largest gaps occurring for Hispanics in the South and West and for Blacks in the South. Greater levels of sustained and targeted support to increase nurse workforce diversity are needed and should be geared not only to specific underrepresented groups but also to the regions and states with the greatest needs.","Policy, politics & nursing practice"
The role of school safety perceptions in childhood asthma diagnosis disparities.,"Childhood racial and ethnic asthma disparities in the United States are the consequence of structural inequities such as those in socioeconomic status (SES) and exposure to violence, but little research has explored the role of the school environment in perpetuating racial and ethnic disparities. This study examines associations between perceptions of unsafe school environments (USEs) and subsequent asthma diagnosis for elementary-aged children and the extent to which USE mediates relations from SES and race/ethnicity to asthma diagnosis for Black, Latinx, and non-Latinx White children.","Health psychology : official journal of the Division of Health Psychology, American Psychological Association"
Adolescent profiles of ethnicity/race and socioeconomic status: Implications for sleep and the role of discrimination and ethnic/racial identity.,"The present study seeks to explore the intersectionality of ethnicity/race and socioeconomic status (SES) among ethnic/racial minority adolescents in their developmental contexts, examining its implications for sleep disparities and the roles of discrimination and ethnic/racial identity (ERI; i.e., adolescents' understanding and feelings about who they are in relation to their ethnic/racial group). With 350 adolescents (Asian 41.4%, Black, 21.7%, and Latinx 36.9%, female=69.1%, Mage=14.27), we conducted a latent class analysis (LCA) to identify latent classes of adolescents' ethnicity/race, ethnic/racial diversity in their schools and neighborhoods along with SES of their families, schools, and neighborhoods. Next, with hierarchical regression, we tested the association between class membership and subjective and objective sleep duration and quality, followed by the moderating effect of discrimination and ERI. We expected to find adolescents living in low diversity and low SES across various developmental contexts to experience lower levels of subjective and objective sleep duration and quality compared to their counterparts. We also expected to find exacerbating effects of discrimination and ERI exploration, and protective effects of ERI commitment in these associations. Three latent groups were identified (C1: ""Black/Latinx adolescents in low/moderate SES families in varying diversity and low SES schools and neighborhoods,"" C2: ""Predominantly Latinx adolescents in low SES families and moderate diversity and SES schools and neighborhoods,"" and C3: ""Predominantly Asian adolescents in low/moderate SES families in moderate/high diversity and SES schools and neighborhoods""). The class memberships to C1 and C2 were associated with compromised sleep duration and quality compared to C3. An interaction effect of discrimination was found for C1 in subjective sleep duration and for C2 in objective sleep duration. While no interactions were found for ERI, ERI commitment had a direct association with objective sleep duration and quality. Interpretations and implications for intersectionality approach in studies on sleep disparities and the roles of discrimination and ERI are discussed.",Advances in child development and behavior
Living race together: the role of partner's race in racial/ethnic differences in smoking.,"<b>Objective:</b> Crossing racial lines provides a unique context for understanding racial patterns in smoking. This research explores whether adults whose unions cross racial lines behave more similarly to their own group or their partner's<b>Design:</b> Using a sample of respondents from the National Health Interview Survey (2001-2011), we compare the likelihood of current smoking and quitting smoking among adults in mixed-race unions to adults in same-race unions.<b>Results:</b> Adults with different-race partners generally mirror their <i>partner's</i> group; people of color with White partners have a higher likelihood of being current smokers, similar to Whites, while Whites partnered with Asians and Latina/os are, like other Asians and Latino/as, less likely to smoke. There are fewer differences in the likelihood of quitting smoking.",Ethnicity & health
Mapping of Pediatric COVID-19 Cases in Miami-Dade and Broward Counties: an Analysis of Sociodemographic Disparities.,"Numerous studies have shown a disproportionate impact of COVID-19 infection on Black and Hispanic Americans in the adult patient population. However, few studies have been done with pediatric populations. The aim of this study is to identify the prevalence and distribution of COVID-19 cases among pediatric patients in Miami-Dade and Broward counties and identify any sociodemographic disparities.",Journal of racial and ethnic health disparities
Comparison of Genomic Inflation Estimates in Genome-Wide Association Studies Using Genetically Identified Ancestry vs Self-Identified Race/Ethnicity in Prostate Cancer Patients in ELLIPSE Cohort.,,The Journal of urology
Racial and ethnic disparities in monthly trends in alcohol-induced mortality among US adults from January 2018 through December 2021.,"<i>Background:</i> Historically, American Indians/Alaska Natives (AIANs), Blacks, and Hispanics have experienced higher alcohol-induced mortality rates. Given a disproportionate surge in unemployment rate and financial strain among racial and ethnic minorities and limited access to alcohol use disorder treatment during the COVID-19 pandemic, it is essential to examine monthly trends in alcohol-induced mortality in the United States during the pandemic.<i>Objectives:</i> This study estimates changes in monthly alcohol-induced mortality among US adults by age, sex, and race/ethnicity.<i>Methods:</i> Using monthly deaths from 2018-2021 national mortality files (<i>N</i> = 178,201 deaths, 71.5% male, 28.5% female) and census-based monthly population estimates, we calculated age-specific monthly alcohol-induced death rates and performed log-linear regression to derive monthly percent increases in mortality rates.<i>Results:</i> Alcohol-induced deaths among adults aged ≥25 years increased by 25.7% between 2019 (38,868 deaths) and 2020 (48,872 deaths). During 2018-2021, the estimated monthly percent change was higher for females (1.1% per month) than males (1.0%), and highest for AIANs (1.4%), followed by Blacks (1.2%), Hispanics (1.0%), non-Hispanic Whites (1.0%), and Asians (0.8%). In particular, between February 2020 and January 2021, alcohol-induced mortality increased by 43% for males, 53% for females, 107% for AIANs, the largest increase, followed by Blacks (58%), Hispanics (56%), Asians (44%), and non-Hispanic Whites (39%).<i>Conclusions:</i> During the peak months of the pandemic, the rising trends in alcohol-induced mortality differed substantially by race and ethnicity. Our findings indicate that behavioral and policy interventions and future investigation on underlying mechanisms should be considered to reduce alcohol-induced mortality among Blacks and AIANs.",The American journal of drug and alcohol abuse
Predictive overbooking and active recruitment increases uptake of endoscopy appointments among African American patients.,Use of GI endoscopy is historically lower in nonwhite ethnic and racial groups compared with whites. These disparities are multifactorial but likely contribute to differences in GI clinical outcomes. We sought to improve endoscopy uptake overall and in minorities by predictive overbooking and active recruitment in a hospital-based GI clinic.,Gastrointestinal endoscopy
Stigmatizing attitudes toward mental illness among racial/ethnic older adults in primary care.,"The current study applies the perceived stigma framework to identify differences in attitudes toward mental health and mental health treatment among various racial/ethnic minority older adults with common mental health problems including depression, anxiety disorders, or at-risk alcohol use. Specifically, this study examines to what extent race/ethnicity is associated with differences in (1) perceived stigma of mental illness and (2) perceived stigma for different mental health treatment options.",International journal of geriatric psychiatry
"Differences in Social Determinants of Health Underlie Racial/Ethnic Disparities in Psychological Health and Well-Being: Study of 11,143 Older Adults.","The authors sought to determine the impact of selected social determinants of health (SDoH) on psychological health and well-being (defined as depression, cognition, and self-rated health) among Black and Hispanic/Latinx adults relative to White adults 51-89 years of age.",The American journal of psychiatry
"Rethinking race/ethnicity, income, and childhood asthma: racial/ethnic disparities concentrated among the very poor.","Past studies of the prevalence of childhood asthma have yielded conflicting findings as to whether racial/ethnic disparities remain after other factors, such as income, are taken into account. The objective of this study was to examine the association of race/ethnicity and family income with the prevalence of childhood asthma and to assess whether racial/ethnic disparities vary by income strata.","Public health reports (Washington, D.C. : 1974)"
Trends in Race and Sex Representation Among Entering Orthopaedic Surgery Residents: A Continued Call for Active Diversification Efforts.,"Multiple studies have analyzed the diversity of surgical subspecialties, in which orthopaedic surgery consistently lags behind in female and minority representation. This study aims to examine contemporary data on trends in sex and racial representation among entering orthopaedic surgery residents.",The Journal of the American Academy of Orthopaedic Surgeons
Evaluation of the cardiovascular symptom index for midlife women in multiethnic/racial midlife women.,"The authors' purpose of this study was to evaluate the validity and reliability of the Cardiovascular Symptom Index for Midlife Women in four ethnic/racial groups of midlife women in the U.S. Data from two internet surveys were used for this secondary analysis. In the construct validity test, five factors were extracted among White and Hispanic women, while more than five factors were extracted among Asian and African American women. In the convergent validity test, all ethnic/racial groups showed similar patterns. Adequate internal consistency among was shown. The Cardiovascular Symptom Index for Midlife Women is useful for assessing cardiovascular symptoms in multiethnic/racial women.",Health care for women international
Data spanning three decades illustrate racial disparities in likelihood of obesity.,"Obesity rates have risen significantly in recent decades, with underprivileged Americans associated with higher rates of the condition. Risks associated with obesity, furthermore, appear unequally distributed across different racial/ethnic groups, according to the literature. The present study examined racial disparities in obesity as a function of socioeconomic factors, using a sample of American adults from a 32-year longitudinal study. We accounted for the time factor as we evaluated obesity's associations with selected socioeconomic factors; we also examined race/ethnicity's moderating role in obesity-socioeconomic status associations over time. We used data from the National Longitudinal Survey of Youth (NLSY) to obtain a final sample of 118,749 person-waves for analysis. A subsample of person-waves numbering 65,702 represented data from White respondents; one numbering 31,618 represented data from Black respondents; and one numbering 21,429 represented data from Hispanic respondents. Needing to consider repeated measures of the same variables over time, we chose generalized estimated equations (GEE) for use in the data analysis. Speaking generally, the obtained results suggested that for the two smaller subsamples, minority race/ethnicity could have introduced disadvantages that helped explain links between obesity and race/ethnicity. Results also showed that White-Black disparities in obesity have widened slightly in the past three decades, while White-Hispanic disparities have stabilized during the same time period.",Ethnicity & health
Race and ethnic differences in hope and hopelessness as moderators of the association between depressive symptoms and suicidal behavior.,The authors examined trait hope and hopelessness as potential moderators of the association between depressive symptoms and suicidal behavior.,Journal of American college health : J of ACH
Awareness of the Medicare Part D Low-Income Subsidy among Older non-Hispanic Blacks and Hispanics.,"Using nationally representative data from the Health and Retirement Study, this study examined (1) whether awareness of the Medicare Part D Low-Income Subsidy (LIS) varies by race and ethnicity among beneficiaries age 65 and older (N = 1,504), and (2) the impact of factors associated with health benefits knowledge and need for assistance on LIS awareness. Logistic regression results showed that compared with older non-Hispanic Whites, older non-Hispanic Blacks (odds ratio [OR] = .61, p < .001) and Hispanics (OR = .55, p < .01) were less likely to be aware of the LIS. Ethnic differences in LIS awareness were largely explained by language or Spanish-speaking preference (OR = 1.07, p = .808). However, accounting for demographics, health and socioeconomic status, and language did not reduce racial disparities (OR = .63, p < .01). Differences in LIS awareness among racial and ethnic minority groups highlight the need for culturally and linguistically sensitive community-based education, communication, programs, and services that increase knowledge of and access to this critical support.",Social work in public health
Racial/ethnic differences in perception of need for mental health treatment in a US national sample.,To resolve contradictory evidence regarding racial/ethnic differences in perceived need for mental health treatment in the USA using a large and diverse epidemiologic sample.,Social psychiatry and psychiatric epidemiology
Charting How Wealth Shapes Educational Pathways from Childhood to Early Adulthood: A Developmental Process Model.,"Wealth plays a pervasive role in sustaining inequality and is more inequitably distributed than household income. Research has identified that wealth contributes to children's educational outcomes. However, the specific mechanisms accounting for these outcomes are unknown. Using the Panel Study of Income Dynamics (PSID) and its supplements, SEM was used to test a hypothesized longitudinal chain of mediating processes. Framed by the parent investment model, this study tracks children and their parents over twenty-seven years, from pre-birth to early adulthood. The analytic sample was comprised of 1247 young people who were between 6-12 years of age (M= 5.66, SD= 2.12) in 1997, the first wave of the PSID's Child Development Supplement. This analytic sample was roughly equivalent by gender (N= 774; 53% identified as female and N= 693; 47% identified as male). The racial/ethnic background of participants was nearly an equal split between individuals who identified as White (N= 666; 45%) or Black (N= 634; 43%), with an additional 7% (N= 97) who identified as ""Hispanic,"" 2% (N= 40) as ""Other,"" 1% (N= 20) as Asian or Pacific Islander, and less than 1% (N= 6) who identified as American Indian or Alaskan Native. The results indicated that wealth (a) engenders parental and child processes-primarily expectations and achievement-that promote educational success, (b) plays a different role across the life course, and (c) that pre-birth wealth has a significant mediated relationship to educational attainment seventeen years later. These findings advance understanding of specific mediating mechanisms by which wealth may foster children's educational success across the life course, as well as how wealth may differentially shape educational outcomes in childhood, adolescence, and young adulthood.",Journal of youth and adolescence
Racial/ethnic differences in 30-year trajectories of heavy drinking in a nationally representative U.S. sample.,Racial/ethnic minorities bear a disproportionate burden of alcohol-related problems in the U.S. It is unknown whether this reflects harmful patterns of lifecourse heavy drinking. Prior research shows little support for the latter but has been limited to young samples. We examine racial/ethnic differences in heavy drinking trajectories from ages 21 to 51.,Drug and alcohol dependence
The reverse social distance scale.,"A ""reverse"" Social Distance Scale was created by modifying Bogardus's Social Distance Scale, to measure minority groups' perceptions of the social distance established by the majority group between itself and minority groups. The Reverse Social Distance Scale (Guttman's coefficient of reproducibility = 0.99) differentiated between the African American students and the other two groups of minority students in the present sample--Hispanic students and Others--but did not differentiate between the latter two groups. The relationships between the participants' choices of self-identification terms and their scores on the Reverse Social Distance Scale were varied.",The Journal of social psychology
"Ethnic identity, perceived support, and depressive symptoms among racial minority immigrant-origin adolescents.","Although racial minority immigrant-origin adolescents compose a rapidly growing sector of the U.S. population, few studies have examined the role of contextual factors in mental health among these youth. The present study examined the relationship between ethnic identity and depressive symptoms, the relationship between perceived social support and depressive symptoms, and the relationship between sociodemographic factors (ethnicity, gender, and socioeconomic status) and depressive symptoms, among a culturally diverse group of adolescents. In addition, the potential moderating role of nativity status (U.S. born vs. foreign born) was examined in these associations. Participants were 9th and 10th graders (N = 341; 141 foreign born and 200 U.S. born, from Asian, Latino(a), and Afro-Caribbean backgrounds), attending an urban high school. Consistent with previous research, ethnic identity was negatively associated with depressive symptomatology in the overall sample. Nativity status did not moderate the relationship between ethnic identity and depressive symptoms. Among the sociodemographic factors examined, only gender was associated with depressive symptoms, with girls reporting higher levels of depressive symptoms compared with boys. Contrary to expectations, there were no differences in the degree of depressive symptomatology between U.S.-born and foreign-born adolescents, and perceived social support was not associated with fewer depressive symptoms. The findings suggest the importance of gender and ethnic identity in mental health and, more broadly, the complexity of social location in mental health outcomes among U.S.-born and foreign-born immigrant-origin adolescents. Implications for research and interventions with immigrant-origin adolescents are discussed.",The American journal of orthopsychiatry
Ethnoracial sleep disparities among college students living in dormitories in the United States: a nationally representative study.,"Ethnoracial disparities in sleep health across the lifecourse, may underlie other disparities in health and well-being among adults in the United States (U.S.). We evaluated if socioenvironmental stressors, which likely differ by the race/ethnicity of college students, may contribute to sleep disparities in this demographic group.",Sleep health
Do the majority of Asian-American and African-American smokers start as adults?,Identifying ethnic differences in the age of smoking onset from nationally representative data can lead to improved targeted prevention programs and policies to combat smoking in ethnic communities.,American journal of preventive medicine
A national multiethnic online forum study on menopausal symptom experience.,"Little is known about how culture influences menopausal symptom experience, and few comparative qualitative studies have been conducted among multiethnic groups of midlife women in the United States.",Nursing research
Racial differences in cigarette brand recognition and impact on youth smoking.,"African Americans are disproportionately exposed to cigarette advertisements, particularly for menthol brands. Tobacco industry documents outline strategic efforts to promote menthol cigarettes to African Americans at the point of sale, and studies have observed more outdoor and retail menthol advertisements in neighborhoods with more African-American residents. Little research has been conducted to examine the effect of this target marketing on adolescents' recognition of cigarette brand advertising and on smoking uptake. To our knowledge, this is the first study to examine racial differences in brand recognition and to assess the prospective relationship between brand recognition and smoking uptake.",BMC public health
The Association between Food Insecurity and Diet Quality Varies by Race/Ethnicity: An Analysis of National Health and Nutrition Examination Survey 2011-2014 Results.,"Food insecurity is believed to influence the quality and quantity of foods consumed; however, studies examining food insecurity and diet quality have been inconclusive and few studies have explored variability in these associations by sex and race/ethnicity.",Journal of the Academy of Nutrition and Dietetics
